word	partOfSpeech	English	source_url
protagonismo	noun	importance, prominence	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
recurrir	verb	to resort to	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
refugiar	verb	to shelter	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
rezar	verb	to pray	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
robo	noun	robbery, theft	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
sufrimiento	noun	suffering	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
tragar	verb	to swallow (to cause to pass from the mouth into the	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
un	article	an; a	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
virgen	adjective	virgin	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
vitalidad	noun	vitality	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
abordar	verb	to address, to broach	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
abuso	noun	abuse	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
autoestima	noun	self-esteem	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
autorretrato	noun	self-portrait	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
canasto	noun	basket	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
confeccionar	verb	to make, prepare	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
coronar	verb	to crown	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
